PCA total explained variance =  0.47
236  -1.274862  4.355709 -2.545014 -0.446260 -1.947102
237  -3.083874 -0.623539  2.181786  0.729981 -0.636893
238  -5.749364 -0.562249 -0.500690 -5.238030  0.279406
239  -2.613627 -5.627207  0.415244 -0.139750 -0.147599
240  -5.606608  3.205831 -0.533412  1.886932  2.004471
241   7.142802 -1.940054  1.242389  4.614507  0.683172
242  -4.618246  5.033655 -1.054512  1.650586 -0.914242
243  -5.559786 -1.804891  3.382447 -0.082156 -2.985805
244  -3.284690  5.935861 -0.998313 -2.104860 -2.785105
245  -0.253723  7.882269  2.837826 -1.075335 -2.454308
246   3.604140 -1.082747 -3.159995 -2.311538  2.469305
247  -5.603625 -4.342573  1.186766  0.445826  0.726405
248  -1.141065 -2.827109 -3.019070  0.334673  0.699441
249  -0.541011 -0.467985 -0.658821 -2.152296 -1.291212
250   1.851685 -0.797273  2.646650  0.960423 -1.648109
251  -1.320126 -1.765948 -2.167960  6.037284  0.274168
252  -2.254453  2.825618  1.888187  0.471366 -1.064951
253   0.593435 -3.601120 -0.534244 -2.139339 -0.359989
254   4.419809 -0.282610 -0.604046 -4.298683  0.436932
255   0.447510  3.148453 -1.372026  3.356982 -0.706852
256  -4.252069 -0.474161  0.259211 -1.113152 -2.593210
257  -4.359523 -3.053640 -3.146711  2.187068  2.831136
258  -1.962516  1.527352  1.589232  1.087223  2.422248
259  -2.358611  0.233308 -3.909079  1.260672 -1.628623
260   5.126935 -0.037626 -0.760403 -1.248816 -0.320251
261   1.188186 -3.395285 -1.103166  4.112911 -2.732095
262  -0.016141 -0.343786 -2.283790 -1.453558 -1.741308
263   1.967361 -2.234741 -5.191738  0.221775  0.043079
264   4.999577  1.239831 -1.345603 -1.369707  0.434362
265  -0.573114 -2.875141  1.904714 -2.634825  2.020683
266  -9.169391  1.301774  0.366736 -1.632280 -3.076215
267   4.291053  0.762709  4.776540 -1.050398 -0.221668
268  -1.714544 -0.375705 -3.288160  2.165951  2.795849
269  -8.410798 -1.453129 -0.005603 -1.513446 -4.094506
270  -7.169947 -0.294612 -0.933516 -1.089896 -0.024182
271   0.877661  5.576494  2.114760 -1.413594 -0.501234
272   6.694941 -0.270272 -4.926656 -0.677203  1.531595
273  -0.655879 -3.955325 -0.931300  6.308562 -0.912461
274   0.384317  5.609894  2.509088 -0.892318 -2.192442
275  -0.973320 -1.325449  4.128286  0.550255  0.281953
276   5.089666 -1.442688 -1.907677 -0.990780 -0.396549
277   5.062857  3.915138 -1.712977 -3.004026  0.772477
278   4.355644 -2.687162  0.837069  0.971211 -0.628410
279   2.724794 -4.307958 -0.107115 -0.569275 -3.738710
280  -1.356292 -8.468079  1.425668  1.538374 -1.105299
281  -3.116643 -0.776376 -2.823329  0.050915  0.960445
282   0.263451 -0.643381  2.009342 -2.186317 -1.789186
283   1.462194  1.635280 -2.353483 -3.263258 -1.536184
284   5.606460  1.720461  0.591248 -0.433120  1.458384
285   5.114153 -2.546887  3.102556 -1.572176 -0.848003
286   5.616427 -2.103012  1.278680 -0.444233 -1.035031
287   0.345886  3.365439  4.940250 -0.552383 -0.416437
288   0.349737  5.580457  5.197320 -2.313507 -4.713870
289   3.006212  1.055955  3.813542  1.169945 -0.861004
290   0.488302 -3.036427 -1.025319 -1.148544 -1.529826
291   0.141324  0.070980  6.498395 -3.124449 -0.782794
292  -0.932718  2.816832  0.734817 -5.142546 -2.213020
293   1.852362 -4.433431  2.675377 -1.057812 -0.220685
294  10.194915 -2.489898 -1.961888 -0.789033  1.925584
295   5.706200 -0.996223  6.269468 -1.704467  1.523210
296   6.081800  0.887117 -0.749903 -3.282014 -0.376277
297  -1.508486 -0.828206  3.565143  0.263363 -2.990901
298   8.352613 -3.144100 -0.170168 -0.840593  1.265423
299  -6.055207 -3.350291 -0.393114 -2.863333 -3.738888
300   6.065572  0.958683  6.586861 -0.091927 -1.771106
301   0.569665  2.946954  0.548321 -3.032515 -0.017342
302  -3.285005 -4.778184  0.783366 -2.695491  5.086913
303   3.296267 -1.629889  1.014358 -2.902642 -1.034656
304  10.984648 -2.015623 -2.568223 -0.048414  1.554818
305  -1.039914  4.560769 -3.609412 -0.362720  3.054126
